Model,MAE,MSE,RMSE,R2
Random Forest,10.621476367445373,27098.16454045188,164.61520142578533,0.9661797094794802
Decision Tree,12.981228796343322,33077.63629489664,181.87258258158826,0.9587169356966773
Linear Regression,63.014842724496354,158457.77167071146,398.06754661829876,0.8022342854573171
